"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
49,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877699326,49,3662,156,151,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,156,151,1,0.506,0.506,0.494,0.515,0.515,0.485,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
50,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877706343,50,7012,156,150,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,156,150,1,0.507,0.507,0.493,0.518,0.518,0.482,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
61,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877758378,11,2885,366,413,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,413,366,1,0.342,0.658,0.342,0.362,0.638,0.362,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
62,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877760915,12,2531,366,141,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,366,141,1,0.896,0.896,0.104,0.938,0.938,0.0620000000000001,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
63,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877763746,13,2824,366,370,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,370,366,1,0.487,0.513,0.487,0.488,0.512,0.488,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
64,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877767186,14,3435,366,362,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,366,362,1,0.513,0.513,0.487,0.512,0.512,0.488,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
65,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877769728,15,2536,366,23,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,366,23,1,0.896,0.896,0.104,0.984,0.984,0.016,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
66,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877772544,16,2812,387,366,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,387,366,1,0.569,0.569,0.431,0.563,0.563,0.437,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
67,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877775837,17,3288,387,422,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,422,387,1,0.37,0.63,0.37,0.396,0.604,0.396,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
68,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877778570,18,2727,369,387,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,387,369,1,0.44,0.56,0.44,0.446,0.554,0.446,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
69,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877781355,19,2781,360,369,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,369,360,1,0.47,0.53,0.47,0.473,0.527,0.473,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
70,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877784754,20,3394,360,355,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,360,355,1,0.517,0.517,0.483,0.515,0.515,0.485,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
