"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
115,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510911275,15,223,209,107,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,209,107
116,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510911523,16,247,209,211,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,211,209
117,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510911755,17,231,209,234,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,234,209
118,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510911931,18,175,209,204,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,209,204
119,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510912139,19,207,214,209,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,214,209
120,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510912333,20,193,213,214,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,214,213
121,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510912503,21,169,157,213,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,213,157
122,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510912695,22,191,160,157,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,160,157
123,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510912935,23,239,150,160,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,160,150
124,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510953262,24,40326,150,180,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,180,150
125,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510953934,25,670,149,150,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,150,149
126,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510953955,26,20,145,149,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,149,145
127,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510954209,27,253,146,145,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,146,145
128,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510954349,28,139,146,139,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,146,139
129,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510954557,29,207,146,132,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,146,132
130,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510954765,30,207,146,226,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,226,146
131,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510954920,31,154,134,146,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,146,134
132,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955176,32,254,134,121,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,134,121
133,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955367,33,190,126,134,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,134,126
134,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955771,34,403,126,64,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,126,64
135,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955775,35,3,126,320,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,320,126
136,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955869,36,93,111,126,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,126,111
137,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510955963,37,93,111,111,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,111,111
138,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510956117,38,153,379,111,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,379,111
